# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu_atom/cycles/Pu'
# Event count (approx.): 4284000
#
# Overhead  Command  Shared Object         Symbol                            
# ........  .......  ....................  ..................................
#
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::_M_allocate_internal_buffer()
     0.00%  ml       ld-linux-x86-64.so.2       [.] __GI___sigsetjmp
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::_M_call_callbacks(std::ios_base::event)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::~ios_base()
     0.00%  ml       ml                         [.] ML::runTests()
     0.00%  ml       ml                         [.] ML::runProfilingTest(ML::Model const&, ML::Path const&)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::xsgetn(char*, long)
     0.00%  ml       libc.so.6                  [.] __GI___libc_open
     0.00%  ml       ld-linux-x86-64.so.2       [.] memmove
     0.00%  ml       ld-linux-x86-64.so.2       [.] openaux
     0.00%  ml       libstdc++.so.6.0.29        [.] free@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_dst_count
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
     0.00%  ml       libstdc++.so.6.0.29        [.] wctob@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
     0.00%  ml       ld-linux-x86-64.so.2       [.] strlen
     0.00%  ml       libc.so.6                  [.] systrim.constprop.0
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_sort_maps
     0.00%  ml       libc.so.6                  [.] _IO_unsave_markers
     0.00%  ml       ml                         [.] ML::buildToyModel(ML::Path)
     0.00%  ml       ml                         [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .constprop.0]
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__timepunct<char>::_M_initialize_timepunct(__locale_struct*)
     0.00%  ml       libc.so.6                  [.] _IO_file_finish@@GLIBC_2.2.5
     0.00%  ml       libc.so.6                  [.] alloc_perturb
     0.00%  ml       ml                         [.] operator delete(void*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::moneypunct<char, false>::_M_initialize_moneypunct(__locale_struct*, char const*)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::moneypunct<char, true>::_M_initialize_moneypunct(__locale_struct*, char const*)
     0.00%  ml       ml                         [.] ML::LayerParams::LayerParams(unsigned long, std::vector<unsigned long, std::allocator<unsigned long> >) [clone .constprop.0]
     0.00%  ml       ml                         [.] std::vector<unsigned long, std::allocator<unsigned long> >::vector(std::initializer_list<unsigned long>, std::allocator<unsigned long> const&) [clone .constprop.3]
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::is_open() const@plt
     0.00%  ml       libc.so.6                  [.] __GI___fileno
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_ios<char, std::char_traits<char> >::clear(std::_Ios_Iostate)
     0.00%  ml       ml                         [.] ML::Timer::stop()
     0.00%  ml       libc.so.6                  [.] _IO_un_link
     0.00%  ml       libc.so.6                  [.] __GI___libc_write
     0.00%  ml       libc.so.6                  [.] __mmap
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream& std::ostream::_M_insert<long>(long)
     0.00%  ml       libstdc++.so.6.0.29        [.] malloc@plt
     0.00%  ml       ml                         [.] ML::MaxPoolingLayer::allocLayer()
     0.00%  ml       libc.so.6                  [.] _IO_new_file_init_internal
     0.00%  ml       ml                         [.] ML::DenseLayer::allocLayer()
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_add_to_namespace_list
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream::sentry::sentry(std::ostream&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] operator new(unsigned long)@plt
     0.00%  ml       ml                         [.] ML::LayerParams::isCompatible(ML::LayerParams const&) const
     0.00%  ml       ld-linux-x86-64.so.2       [.] mmap64
     0.00%  ml       libstdc++.so.6.0.29        [.] pthread_once@plt
     0.00%  ml       libc.so.6                  [.] munmap_chunk
     0.00%  ml       ml                         [.] ML::DenseLayer::~DenseLayer()
     0.00%  ml       ld-linux-x86-64.so.2       [.] __libc_scratch_buffer_set_array_size
     0.00%  ml       libstdc++.so.6.0.29        [.] strcmp@plt
     0.00%  ml       ml                         [.] ML::Path::operator/(char const*) const
     0.00%  ml       libc.so.6                  [.] __pthread_once_slow
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_init
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::locale()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e96
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e9b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1ea2
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1ea6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1ea8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1eac
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e84
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e88
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e8f
     0.00%  ml       libc.so.6                  [.] read
     0.00%  ml       libc.so.6                  [.] __sbrk
     0.00%  ml       libc.so.6                  [.] __mempcpy@plt
     0.00%  ml       libc.so.6                  [.] __mempcpy_avx_unaligned_erms
     0.00%  ml       libstdc++.so.6.0.29        [.] fwrite@plt
     0.00%  ml       ml                         [.] ML::LayerParams::LayerParams(unsigned long, std::vector<unsigned long, std::allocator<unsigned long> >, ML::Path) [clone .constprop.0]
     0.00%  ml       ml                         [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::facet::_S_get_c_locale()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::~locale()@plt
     0.00%  ml       libc.so.6                  [.] __libc_start_main@@GLIBC_2.34
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::__basic_file(pthread_mutex_t*)
     0.00%  ml       ml                         [.] ML::MaxPoolingLayer::~MaxPoolingLayer()
     0.00%  ml       libc.so.6                  [.] __strnlen_ifunc
     0.00%  ml       libstdc++.so.6.0.29        [.] __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::overflow(int)
     0.00%  ml       libc.so.6                  [.] __wcschr_ifunc
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000007310
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000007315
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000731a
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000731d
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000731f
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000007322
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000007325
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000732c
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000732e
     0.00%  ml       ml                         [.] void ML::logInfo<>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_load_cache_lookup
     0.00%  ml       libc.so.6                  [.] __close_nocancel
     0.00%  ml       libc.so.6                  [.] __wmemchr_ifunc
     0.00%  ml       libstdc++.so.6.0.29        [.] operator delete(void*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::close()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<char>::ctype(unsigned short const*, bool, unsigned long)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::codecvt<char, char, __mbstate_t>::do_always_noconv() const
     0.00%  ml       libc.so.6                  [.] __wmemset_ifunc
     0.00%  ml       libc.so.6                  [.] __newlocale
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_process_pt_gnu_property
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::Init::Init()
     0.00%  ml       ml                         [.] ML::Model::inferenceLayer(ML::LayerData const&, int, ML::Layer::InfType) const
     0.00%  ml       libc.so.6                  [.] tcache_init.part.0
     0.00%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::ctype<char> >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<char> const& std::use_facet<std::ctype<char> >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::_M_init()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::operator=(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)@plt
     0.00%  ml       libc.so.6                  [.] __lll_elision_init
     0.00%  ml       libstdc++.so.6.0.29        [.] btowc@plt
     0.00%  ml       ml                         [.] operator new[](unsigned long)@plt
     0.00%  ml       ml                         [.] std::basic_ios<char, std::char_traits<char> >::init(std::basic_streambuf<char, std::char_traits<char> >*)@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_add_to_slotinfo
     0.00%  ml       ml                         [.] ML::LayerParams::~LayerParams()
     0.00%  ml       libc.so.6                  [.] __default_morecore@GLIBC_2.2.5
     0.00%  ml       libc.so.6                  [.] __x86_cacheinfo_ifunc
     0.00%  ml       libstdc++.so.6.0.29        [.] memcpy@plt
